State,Abbreviation,Establishments,Employees,Payroll
Alabama,AL,2903,58578,2593509
Alaska,AK,1144,18736,1356522
Arizona,AZ,3318,87151,4220738
Arkansas,AR,2359,52637,2331009
California,CA,23153,486149,24835936
Colorado,CO,3779,69739,3439205
Connecticut,CT,1708,41807,1922079
Deleware,DE,684,14153,601900
District of Columbia,DC,164,3076,220211
Florida,FL,14576,238271,11808123
Georgia,GA,6597,176600,8499267
Hawaii,HI,885,29911,1427670
Idaho,ID,1751,18419,698096
Illinois,IL,15486,242399,11811330
Indiana,IN,5294,123332,5384598
Iowa,IA,3535,55985,2329398
Kansas,KS,2554,52669,2190072
Kentucky,KY,2938,92858,4612591
Louisiana,LA,3924,72841,4188004
Maine,ME,1209,15160,628506
Maryland,MD,3499,69414,3365189
Massachusetts,MA,3779,82451,3900496
Michigan,MI,6227,112260,5493944
Minnesoata,MN,4699,80299,3642073
Mississippi,MS,2065,37193,1607579
Missouri,MO,4757,81944,3488184
Montana,MT,1381,13838,642043
Nebraska,NE,2390,29602,1341149
Nevada,NV,1565,51562,2108810
New Hampshire,NH,804,12825,527324
New Jersey,NJ,7482,165343,8469774
New Mexico,NM,1402,18516,792214
New York,NY,12811,238524,11157629
North Carolina,NC,5766,119570,5361773
North Dakota,ND,1651,19664,1057919
Ohio,OH,7448,171286,8103911
Oklahoma,OK,2758,49395,2648747
Oregon,OR,3097,56730,2586497
Pennsylvania,PA,8660,218687,9338739
Rhode Island,RI,647,10524,421946
South Carolina,SC,2628,57916,2399757
South Dakota,SD,1190,10861,441301
Tennessee,TN,4146,135090,6003431
Texas,TX,19139,432156,23867978
Utah,UT,2305,58453,2580488
Vermont,VT,485,5744,227381
Virginia,VA,4888,102124,4672267
Washington,WA,5177,97081,5196995
West Virginia,WV,1196,14144,637959
Wisconsin,WI,5415,101754,4304516
Wyoming,WY,964,11147,531532
